step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.6015961170196533,0.3685520323686161,0.30119614036181164,0.08204119800760397,0.8405294391514655,0.7150231489608985,0.8109754731405528
250,0.0019614442717283964,0.025493918806042924,0.013244208081543913,1.6350356594270938e-05,0.08679478933753693,0.061031180055583216,0.08546578691595864
500,4.550687663140707e-05,0.0038754674567968283,0.0014761265713792411,2.5188915114900585e-05,0.019794742209279903,0.007675645074273678,0.01648169780038025
750,8.558893682675262e-08,0.000167536234820878,6.166606554060987e-05,4.38872286643405e-06,0.0008379705481083022,0.0003036324899226446,0.0007238665224564922
1000,4.369258080338945e-11,3.84332346958466e-06,1.5587326148121184e-06,-7.197893667342301e-09,2.0038808797195884e-05,6.418620667592015e-06,1.6446744737148545e-05
1250,4.18720369791889e-13,3.564076750537606e-07,1.6797305882728812e-07,-3.60032482134221e-09,1.7343785376766618e-06,7.562717517117785e-07,1.4136816085574793e-06
1500,5.4144771890855814e-14,1.383336665339872e-07,8.522233644706982e-08,1.2306963067690698e-09,6.292053900125438e-07,1.8558985530603418e-07,5.350689561645075e-07
1750,2.4870735557277167e-14,8.448566284675463e-08,6.379676791079007e-08,1.96296912269829e-08,2.320337895156399e-07,1.6365873101165102e-07,2.1537754596678821e-07
2000,1.3435768746487484e-14,5.76103804091564e-08,4.650443539250524e-08,-1.7682237007932144e-08,1.2640042612588331e-07,1.0088268203034543e-07,1.1765378422623477e-07
2250,2.6050017178091966e-14,7.339041796616219e-08,6.043967912393641e-08,4.005963772342403e-09,1.7861126622165102e-07,1.379009157531641e-07,1.6369407173755222e-07
2500,2.5153578493090217e-14,7.152437967036266e-08,5.507068718506909e-08,3.340324051222188e-08,2.045383222792907e-07,1.41748008353204e-07,1.905396407586578e-07
2750,2.0064065833031927e-14,7.512707574095552e-08,5.82150577902293e-08,-1.6448784894997797e-08,1.8110395316739414e-07,1.4402393686552272e-07,1.6889817095133697e-07
3000,1.9661814968578543e-14,1.1044875226875363e-07,7.73518838399701e-08,6.020512845933148e-08,4.276270395564552e-07,2.1620022403467934e-07,3.503206967003784e-07
3250,7.967127402253027e-09,5.0099763123725184e-05,2.7025383230722916e-05,-2.0558848634505147e-06,0.00018985489579392834,0.00011362705737889546,0.0001612825935927906
3500,8.481248472622105e-13,5.453234544105959e-07,3.307108932947331e-07,1.3179764285233713e-08,1.871850695778221e-06,1.212315817067377e-06,1.633803592362424e-06
3750,1.014547671676809e-13,1.851441720128059e-07,1.2836730459550187e-07,4.340023705497385e-09,5.89535860129331e-07,4.014932361684486e-07,5.134836272269176e-07
4000,3.589907573140795e-14,1.0129849939625412e-07,8.128489039532518e-08,1.1329586200420615e-08,2.550673112722279e-07,1.887235590025682e-07,2.3118699749247163e-07
4250,3.038645317353719e-14,8.476223864845293e-08,6.460887985462077e-08,8.040380128888848e-09,1.968226435167253e-07,1.6103575086745534e-07,1.8263332345114224e-07
4500,1.1960221258744495e-14,5.86465595971994e-08,4.5692607623474636e-08,4.031660677263798e-09,1.622859819860878e-07,1.1625217517519098e-07,1.4630625779332703e-07
4750,8.16464629330724e-15,5.1963396170484605e-08,4.188333988625324e-08,2.078694718999854e-09,1.155465216839957e-07,1.0639283640756497e-07,1.1374681053055722e-07
5000,1.0836450789160953e-14,6.547565592337891e-08,5.2909408114013935e-08,1.472157968016691e-08,1.5801065877951714e-07,1.182527207710393e-07,1.568579785882207e-07
5250,9.374657422415479e-15,4.698442124586291e-08,3.888971574402452e-08,2.181482423273857e-09,1.0953794493673286e-07,8.43553232598992e-08,1.0643195816228965e-07
5500,1.5266605050989236e-14,8.165998180167923e-08,6.086638858535242e-08,1.2151887538553162e-08,2.616206415950728e-07,1.4561269194857117e-07,2.4098966493468745e-07
5750,1.8380020338289345e-14,9.044367443767286e-08,7.1862812124293e-08,-1.6628663187153354e-08,2.713787150554481e-07,1.5475354420146906e-07,2.419793580088478e-07
6000,1.369940605725449e-14,7.120190914525201e-08,5.234575131024279e-08,9.273832453294246e-09,2.086771360154671e-07,1.4361819511421443e-07,2.0606472169504284e-07
6250,1.2142285061526176e-14,6.060865819367891e-08,4.728035123202105e-08,-4.396929212259151e-09,1.749714115817369e-07,1.2984355333145442e-07,1.60972730061104e-07
6500,2.0984253627808792e-14,7.614672265841712e-08,6.19583056183344e-08,9.99334604485858e-09,1.996729661613017e-07,1.3883767415734375e-07,1.9826608959050416e-07
6750,1.747631241653426e-14,8.227993894425415e-08,6.74998376346653e-08,-2.649538620249002e-09,1.7676452479520322e-07,1.4930554987913066e-07,1.7209960711639378e-07
7000,1.829724997274955e-14,6.393242211730057e-08,5.2226965947744206e-08,-1.9403930652726687e-08,1.366894739618374e-07,1.1662380394739101e-07,1.299797132503499e-07
7250,3.300819971627407e-14,1.228201593512909e-07,9.01809071016774e-08,-4.304509734897097e-08,3.400348180804258e-07,2.762932869160295e-07,3.2916029530483104e-07
7500,2.8198555212318073e-14,9.089208255088043e-08,6.922850627147238e-08,1.1843524341142732e-08,2.0990160898293198e-07,2.0642940761206312e-07,2.0986636551256765e-07
7750,3.543119506013541e-14,1.0389545364138839e-07,7.342616449248919e-08,1.3488127398055721e-08,3.4536660820094767e-07,2.2441338822787306e-07,2.9640394021868086e-07
8000,3.0475835478263255e-14,1.3721134244687213e-07,9.436607034409744e-08,-6.586396249561165e-08,4.5739724008342364e-07,2.739070984247858e-07,4.2672418601341604e-07
8250,1.5056166091653722e-08,5.2305237283156816e-05,3.3583910444189346e-05,-1.3625820435345237e-05,0.0001678723111524505,0.0001218913303118185,0.00015940017289283397
8500,3.3498315341225215e-13,3.509163698920911e-07,2.015398323996194e-07,-4.139960120750987e-09,1.319264121946162e-06,8.053856422662873e-07,1.1537108269443748e-06
8750,5.0979026908074335e-14,1.4243940429195175e-07,8.809125513698475e-08,-5.476199937959336e-09,4.924015026830375e-07,3.2853596998450014e-07,4.490943407198241e-07
9000,1.7168605675587506e-14,7.678484872868602e-08,5.741656145239577e-08,1.4156247179777264e-08,2.1409097428204404e-07,1.6855501456802806e-07,2.0075801206331777e-07
9250,8.135651508489779e-15,6.011180972803735e-08,5.0842210357126574e-08,-7.326377980478225e-09,1.5145732845667226e-07,1.0260891905033978e-07,1.3385489047834637e-07
9500,6.7911586524118696e-15,5.3084568182504415e-08,3.919502216966802e-08,-7.634741262477075e-09,1.7262415497043548e-07,1.0485436812146522e-07,1.530816604855543e-07
9750,1.0447790568346264e-14,5.4106462950616894e-08,4.166341345997656e-08,-6.915227332559057e-09,1.445217918671915e-07,1.0486208781301797e-07,1.347395158823871e-07
