step,total_loss,data_loss,curv_loss_raw,curv_loss_weighted,lambda_curv_eff,gradcap_loss_raw,gradcap_loss_weighted,lambda_gradcap_eff,grad_cap_dex_per_km,gradcap_violation_frac,mean_grad_dex_per_km,p95_grad_dex_per_km,max_grad_dex_per_km,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3929702341556549,0.3929702341556549,9.363070487976074,4.681535107492474e-13,5e-14,0.0,0.0,5.0000000000000004e-08,0.03759580807774583,0.0,0.0011071511544287205,0.001896960660815239,0.0030628477688878775,0.25181526821874395,0.20885136499795545,-0.03735146626183782,0.5973601632813885,0.43979084730772305,0.5354874298925288
250,2.085333505874587e-08,6.285492126778536e-09,1165.4273681640625,1.4567842043788914e-08,1.25e-11,0.0,0.0,1.25e-05,0.03759580807774583,0.0,0.006746148224920034,0.017644939944148064,0.024657437577843666,4.4242452831509826e-05,2.839204918649228e-05,-1.2501827302491804e-07,0.00011054512172670172,0.00010732406242244242,0.00010990325487940211
500,2.9136487000869238e-08,4.863937960622282e-14,1165.45751953125,2.9136439039234574e-08,2.5e-11,0.0,0.0,2.5e-05,0.03759580807774583,0.0,0.006746348459273577,0.01764855906367302,0.02465844713151455,1.2400224016468867e-07,9.833827838806861e-08,7.526441776695676e-09,2.997831565210163e-07,2.550569192294458e-07,2.9334769781286234e-07
750,4.370385653373887e-08,1.812592400664021e-14,1165.4356689453125,4.370383877017048e-08,3.75e-11,0.0,0.0,3.7500000000000003e-05,0.03759580807774583,0.0,0.0067463219165802,0.01764843799173832,0.024658184498548508,8.140518541426247e-08,6.318767401377759e-08,-2.8551140710912173e-09,2.31216729318362e-07,1.7592306376101857e-07,2.1031167788621e-07
1000,5.826863258562298e-08,3.541285849089325e-14,1165.3719482421875,5.8268597058486193e-08,5e-11,0.0,0.0,5e-05,0.03759580807774583,0.0,0.006746242754161358,0.017648054286837578,0.02465740218758583,1.1277906178166007e-07,8.741685415747909e-08,-2.649538620249002e-09,3.693633736645552e-07,1.880232580298013e-07,3.2821302090368896e-07
1250,7.282721270485126e-08,6.219368553148086e-14,1165.234375,7.282714875600504e-08,6.25e-11,0.0,0.0,6.25e-05,0.03759580807774583,0.0,0.006746069062501192,0.017647208645939827,0.02465563639998436,1.4085437641119187e-07,1.1150375547753725e-07,7.012503424502505e-09,3.615462684791737e-07,2.6413991633944527e-07,3.364312191500571e-07
1500,8.737421808291401e-08,7.675693305779496e-14,1164.988525390625,8.737413992321308e-08,7.5e-11,0.0,0.0,7.500000000000001e-05,0.03759580807774583,0.0,0.006745756603777409,0.017645664513111115,0.024652378633618355,1.6536108911617827e-07,1.2991671201268403e-07,1.2665825848452122e-08,3.9526586803617647e-07,3.6094285951193655e-07,3.859755855373236e-07
1750,1.0190266408471871e-07,9.459236372704252e-14,1164.600830078125,1.0190257171416306e-07,8.750000000000001e-11,0.0,0.0,8.75e-05,0.03759580807774583,0.0,0.006745259743183851,0.01764320582151413,0.024647237733006477,1.7539832378966854e-07,1.3214631002154776e-07,-1.1077233944926472e-09,4.211683641841546e-07,3.510693948882702e-07,4.123271109257586e-07
2000,3.233539018765441e-07,2.1411591433206922e-07,1092.3797607421875,1.0923798043904753e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006436088588088751,0.016841210424900055,0.023831497877836227,0.00029504981204705197,0.00025764703154831264,-6.265521028483856e-05,0.0005386630715502605,0.00047662569338564604,0.0005303349583734905
2250,1.0923498194870263e-07,1.396080245765624e-13,1092.348388671875,1.0923483984015547e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006436090916395187,0.016834108158946037,0.02383068948984146,2.105182992048217e-07,1.490212082410651e-07,2.592633324958288e-09,6.119370592472251e-07,4.4130301519729186e-07,5.549619403844014e-07
2500,1.092007479996937e-07,1.6541822978662774e-13,1092.005859375,1.0920058457486448e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.00643572211265564,0.016833791509270668,0.023830538615584373,2.327386732843517e-07,1.618535064703711e-07,1.739405931458361e-08,7.155470420627807e-07,4.334923619175867e-07,7.023817570761536e-07
2750,1.0916014758777237e-07,1.7076696502173194e-13,1091.5997314453125,1.0915997705751579e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006435283459722996,0.016833703964948654,0.023830346763134003,2.279205161956527e-07,1.6402987827272378e-07,6.087414255213324e-09,6.48899929345248e-07,4.973659409657215e-07,6.018850830713514e-07
3000,1.0911246306477551e-07,1.7002036985323127e-13,1091.1229248046875,1.0911229253451893e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006434765178710222,0.016833625733852386,0.02383008785545826,2.1887347542705782e-07,1.5373769952325184e-07,-1.7758432608026115e-09,6.723762169258407e-07,4.654387721458872e-07,6.202708460634194e-07
3250,1.090570620476683e-07,1.496630646019917e-13,1090.569091796875,1.0905691283369379e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006434161681681871,0.01683368720114231,0.023829765617847443,2.1666223312823736e-07,1.5171645353785293e-07,2.3818289266822983e-08,6.143632678146105e-07,4.4810707500175774e-07,5.850484605751658e-07
3500,1.089930279363216e-07,1.7102816287761086e-13,1089.9285888671875,1.0899285740606501e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006433460861444473,0.01683988608419895,0.02382936142385006,2.4552706132297994e-07,1.798123191084263e-07,-2.428634546379813e-08,6.834365908758855e-07,5.489264391478341e-07,6.661855810818905e-07
3750,1.089193730763327e-07,1.8928894638791521e-13,1089.1917724609375,1.0891918122979405e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006432651542127132,0.01684531569480896,0.02382885105907917,2.3024298847787004e-07,1.5768211375764112e-07,1.975907057020062e-09,6.637420515431813e-07,4.979850374731138e-07,6.576567814420286e-07
4000,1.4262960235100763e-07,3.317994767826349e-08,1094.49658203125,1.0944965822545782e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006289542652666569,0.016701258718967438,0.02450381964445114,8.717757192388967e-05,7.86355924891069e-05,-2.1271116765710812e-05,0.00020176576846964167,0.00012480754001717998,0.00018057059036491888
4250,1.0935190175587195e-07,1.7898472959819445e-13,1093.5172119140625,1.0935172412018801e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006288689561188221,0.016695670783519745,0.024502910673618317,2.557172404771096e-07,1.8086212392293397e-07,5.444991166942124e-09,8.148399430751851e-07,5.54783140760406e-07,7.468045374459103e-07
