step,total_loss,data_loss,curv_loss_raw,curv_loss_weighted,lambda_curv_eff,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3929702937602997,0.3929702341556549,9.363070487976074,4.681535159534178e-08,5e-09,0.25181526595958015,0.20885136116911435,-0.037351467264017876,0.5973601675984703,0.4397908481711396,0.5354874359796149
250,0.0011442905524745584,1.8525726773077622e-05,900.6118774414062,0.001125764800235629,1.25e-06,0.0025001826377220615,0.0017418157430869555,-2.609525011018764e-06,0.006807230890272464,0.005809583390065495,0.006730808876977522
500,0.001967614982277155,4.760218143928796e-05,768.0051879882812,0.001920012873597443,2.5e-06,0.0040038808595942174,0.002816522879104272,-1.0216584323853253e-05,0.009795065699512051,0.00914739656772756,0.009638402207999695
750,0.002753341570496559,9.021857840707526e-05,710.1661376953125,0.002663122955709696,3.7500000000000005e-06,0.005509302449920582,0.003919201437696233,-8.096151552474038e-06,0.013022904099766919,0.01234965952739868,0.013009094978607312
1000,0.0034828935749828815,0.0001399309403495863,668.592529296875,0.0033429625909775496,5e-06,0.006859555247964823,0.004923442221931201,-3.943220870801445e-06,0.01616066334950972,0.01513474831226089,0.016091828348057308
1250,0.004234116990119219,0.0002021501713898033,645.1146850585938,0.004031966906040907,6.25e-06,0.008243977819409847,0.00590813006571305,-3.302339678876297e-06,0.019438468759068073,0.018119763890892312,0.019304072814291293
1500,0.004992270842194557,0.00027824920834973454,628.5361938476562,0.00471402145922184,7.500000000000001e-06,0.009670985121234201,0.006914375004154969,-2.4146652644369785e-06,0.02289441426537664,0.021347563669180662,0.022675907736724985
1750,0.00574022950604558,0.0003654792672023177,614.2571411132812,0.00537475012242794,8.750000000000001e-06,0.01108215151203887,0.007936392789360218,-0.00023719768680213483,0.0261249735228688,0.02476679174034437,0.025803169568397448
2000,0.006467591505497694,0.0004607840091921389,600.6807861328125,0.006006807554513216,1e-05,0.012443326280037238,0.008881532121281167,-2.0459658522296664e-06,0.0295619584023612,0.02759046148302459,0.029151186973397143
2250,0.00643800338730216,0.0004556769272312522,598.232666015625,0.005982326343655586,1e-05,0.012368627544334312,0.008820732026197677,-1.5309995696607563e-06,0.029438904279693645,0.02745261660363071,0.028993978856064185
2500,0.006418903358280659,0.00045203499030321836,596.6868286132812,0.0059668682515621185,1e-05,0.012319175721401576,0.008775395874823058,-5.690610555050955e-07,0.02935946995969907,0.0273663172049094,0.028894706332701428
2750,0.006404722109436989,0.00044986189459450543,595.4860229492188,0.005954860243946314,1e-05,0.012289502400427435,0.008748085033383434,-1.094203318555539e-06,0.02930821755497348,0.02731580086276776,0.028836076551847573
3000,0.006392474286258221,0.0004479503841139376,594.452392578125,0.005944523960351944,1e-05,0.012263395877074708,0.008725352612607862,-7.840405966791628e-08,0.02925478934061232,0.027270155754751172,0.02878194033593887
3250,0.006381793413311243,0.00044621387496590614,593.5579833984375,0.005935579538345337,1e-05,0.012239590337705096,0.008706800258461293,1.5502676412434573e-07,0.029196422383746423,0.027225455710080296,0.028726631945759862
3500,0.006372378673404455,0.0004445781814865768,592.7800903320312,0.005927800666540861,1e-05,0.012216498356415797,0.008688444742724339,-6.60593575121805e-06,0.02912724545202927,0.027189666987330153,0.0286653563113162
3750,0.006364655680954456,0.0004432945279404521,592.1361083984375,0.005921361036598682,1e-05,0.012198952351732835,0.008673614022149416,-8.749264478500964e-06,0.029083142136103746,0.027178007950255878,0.02862053083381118
4000,0.006357832811772823,0.0004422721394803375,591.5560913085938,0.005915560759603977,1e-05,0.012182568058703843,0.008661275029147127,-4.71985384285051e-05,0.029016348233986022,0.027199642200295127,0.028558579662280786
4250,0.006457766983658075,0.0005578162963502109,589.9951171875,0.005899950861930847,1e-05,0.014258616032482449,0.011459206887717151,0.001965610237235986,0.03310834788451089,0.02831445141358263,0.03242745446665153
