step,total_loss,data_loss,grad_loss,lambda_grad_eff,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3929702341556549,0.3929702341556549,0.20298230648040771,5e-09,0.2518152691376372,0.20885136463819856,-0.037351464565841125,0.5973601805497193,0.43979084730772305,0.5354874383108397
250,1.1716738299583085e-05,7.80972619907061e-09,9.367142677307129,1.25e-06,4.96063646812073e-05,3.890085752155685e-05,6.318074233949542e-07,0.00012601107017040647,9.963853206995661e-05,0.0001203972624541016
500,2.7794527341029607e-05,3.757178124175198e-09,11.116308212280273,2.5e-06,3.593248663356546e-05,2.7282482051558888e-05,7.475720492168745e-07,0.00012426290579981014,6.586526724845498e-05,0.00010099365358199087
750,3.720360473380424e-05,8.845511878519119e-09,9.91860294342041,3.7500000000000005e-06,5.601247186224511e-05,4.5522222099118416e-05,-6.67633546330968e-08,0.00012723978706752348,0.00011105929736805456,0.00012427149934451261
1000,4.702328806160949e-05,1.7036533961345413e-08,9.401250839233398,5e-06,7.28595495030756e-05,5.7188357035720117e-05,5.855991317722731e-06,0.00020043594407326282,0.0001412412593843725,0.00017981086156666475
1250,5.781508662039414e-05,3.271215831546215e-08,9.245180130004883,6.25e-06,0.00010465020792751238,8.090679665932281e-05,-5.154599390158478e-06,0.00024041292470577957,0.00022750270214224593,0.00023739551446393388
1500,0.00017127224418800324,0.00011726473167072982,7.201001167297363,7.500000000000001e-06,0.007767004315940375,0.0064070964283131845,0.00617408098316322,0.01412620253485386,0.0130453479257838,0.014018453896797175
1750,6.432820373447612e-05,5.0296552700501707e-08,7.346046447753906,8.750000000000001e-06,0.00014224344413349277,0.00010943265465826865,4.904441979194797e-05,0.00034245069355698377,0.0003080255157530407,0.0003352351603657943
2000,8.461291145067662e-05,5.6995304476004094e-08,8.455592155456543,1e-05,0.00014448301516146005,0.00010879719370579654,3.850552264679441e-06,0.00037142695202518894,0.000328434408150624,0.0003574004439439092
2250,7.156157516874373e-05,6.072828284686693e-08,7.15008544921875,1e-05,0.00014028008625119087,9.960361551986097e-05,-2.1184184084255264e-05,0.0003597956362852983,0.0003086966757409825,0.0003525971879306233
2500,7.769708463456482e-05,6.939837504660318e-08,7.762768745422363,1e-05,0.0002635091198715357,0.00021695619855516534,0.00017021007578871527,0.0005529246438520374,0.0004614948662293726,0.0005163164104576797
2750,6.420270074158907e-05,1.3701737771043554e-06,6.283252716064453,1e-05,0.0006588800569619077,0.0005718008020508338,-0.0005674859593725469,0.0015765362236876967,0.0010867655996007915,0.0013984927807875443
3000,6.122051127022132e-05,6.929690243850928e-08,6.115121841430664,1e-05,0.0006485883167364115,0.0005699493454036219,0.0005396013776580352,0.001066542758474398,0.0010133013639096688,0.0010530699782473007
3250,6.218503403943032e-05,9.617358642799445e-08,6.20888614654541,1e-05,0.00019077230436973715,0.0001315959173323241,-7.133871358829443e-05,0.0006792133352071517,0.000303733807083084,0.0006572933244078526
3500,0.0001390827092109248,7.880201155785471e-05,6.028070449829102,1e-05,0.0054172254345621175,0.004457162945747262,0.003727985590424442,0.010870794525599692,0.009542302681761948,0.010403248532908723
3750,6.528726225951687e-05,1.0419991980370469e-07,6.518306255340576,1e-05,0.00017793841789416972,0.0001425756187083933,3.51445701542256e-05,0.00041186286794747673,0.00034514072062696844,0.00041062829719708206
4000,5.727004099753685e-05,1.0446007081554853e-07,5.71655797958374,1e-05,0.000253628247561182,0.00019283244836761546,1.8864029336775784e-05,0.0007309837898468174,0.000468554991386316,0.0006802127159756028
4250,5.350476203602739e-05,1.064074922396685e-06,5.244068622589111,1e-05,0.00048283933369143634,0.0003778552046663193,-0.0001354059411902142,0.0012487150557998206,0.0008985972994755006,0.00122135475808923
4500,7.350921805482358e-05,7.219996405183338e-06,6.628921985626221,1e-05,0.0018781321615122335,0.0015692947344847074,-0.0008762576609505688,0.004169611007313279,0.003111439099057911,0.003959721155614433
4750,6.424908497137949e-05,5.095541837363271e-06,5.9153547286987305,1e-05,0.0017870581834984669,0.001528645885878067,-0.0010857788110608404,0.003837814137103379,0.0030057269938161815,0.003744291214948933
5000,4.9219190259464085e-05,2.017321918401649e-07,4.901745796203613,1e-05,0.00027194187451631715,0.00022812863814405287,-0.00017942641024626922,0.0005406958851565946,0.0004820368754138826,0.0005217160280578701
5250,5.1566581532824785e-05,3.0260659400482837e-07,5.126397609710693,1e-05,0.00028742840832219084,0.00022194669696866463,2.624888737978197e-05,0.0007590132845436415,0.0005851153343974678,0.0007504457675293174
5500,5.111712380312383e-05,8.054253726186289e-07,5.031169891357422,1e-05,0.0005823188637774978,0.00046069400849445074,0.0002885355025801757,0.0015059851370207156,0.001160633892989526,0.001379706839632443
5750,5.765191963291727e-05,6.087600468163146e-07,5.704316139221191,1e-05,0.00044849745292914494,0.00033249544483889996,-7.043970683218688e-05,0.0013179874375364165,0.0011027917781501785,0.00125041602174841
6000,5.4608521168120205e-05,6.031067982803506e-07,5.400541305541992,1e-05,0.0005443946642515329,0.00047453009414967696,0.0003484817150751139,0.001105696425645064,0.0008979399144518394,0.0010572009091501927
6250,5.398920620791614e-05,4.2532477095846843e-08,5.394667625427246,1e-05,0.00016595414302261215,0.00012205045593717214,1.766485685444643e-05,0.0004529975165770139,0.00037768440628687105,0.0004293313539545272
6500,5.719391629099846e-05,4.4963906020711875e-07,5.6744279861450195,1e-05,0.0005056793509540629,0.000436659702990476,-8.890952247070636e-05,0.0011401236340731202,0.0008236663995777602,0.0010556653171393108
6750,5.395628249971196e-05,7.081871444825083e-06,4.687441349029541,1e-05,0.0017804888655384885,0.0014600591067508227,-0.0005054656970469347,0.0038733199642155824,0.00316066709093592,0.0036165648422673132
7000,5.638673246721737e-05,5.5913665164553095e-06,5.0795369148254395,1e-05,0.0012144701953558156,0.0009842027537621824,-0.0006513681849959511,0.0023433784666497814,0.002146725742937239,0.0023179384627216313
7250,4.9396781832911074e-05,2.624046601340524e-06,4.677273750305176,1e-05,0.0009603836242860836,0.0007559023681058752,0.00015534944399874293,0.0022043708386867422,0.0017790078088574465,0.002103786308145884
7500,4.988664295524359e-05,8.862268430220865e-08,4.979802131652832,1e-05,0.00014721044205493136,0.00011966916116746247,-3.277406046633825e-05,0.0003062610311914682,0.00026243576913618225,0.0002897464225756606
7750,4.6274933993117884e-05,7.769421586090175e-07,4.54979944229126,1e-05,0.0005775086392049063,0.0004878250481315912,-0.0002823517241027944,0.0010955618786443466,0.0009399672413826109,0.0010345692097011388
8000,7.537123747169971e-05,2.8011689209961332e-05,4.735955238342285,1e-05,0.003434591067158238,0.0027972881818009534,-0.0026244092291242823,0.007871399775282839,0.006436229809928038,0.00768243957780104
8250,5.0206701416755095e-05,6.022826255502878e-06,4.418387413024902,1e-05,0.001212975901479405,0.0009450200379206615,-0.00014104569567953616,0.0033373060583610226,0.0021852884590607856,0.0029388365519518052
8500,4.471885404200293e-05,2.998806678533583e-07,4.441897392272949,1e-05,0.0003469257084046257,0.0002683453949898456,3.685264444596741e-05,0.0009563546760666952,0.0006574952647037333,0.0008551043721399045
8750,4.671529677580111e-05,1.8322153891858761e-06,4.488307952880859,1e-05,0.00086543785717508,0.000602128506313254,0.00010630188642668514,0.0027001305472520443,0.0018379646035558744,0.002365897109769165
9000,4.3228999857092276e-05,4.980110475116817e-07,4.273098945617676,1e-05,0.00040881445858590375,0.00030331479361937817,-0.00013110127019438656,0.0010010679056708938,0.0009076863472040842,0.001000385178768628
9250,4.422253550728783e-05,1.8202686078439e-06,4.240226745605469,1e-05,0.0008332952650374128,0.0005874175337999144,0.00010724013238020784,0.003136590409026141,0.001620910534901298,0.00252883162290645
9500,5.556235191761516e-05,1.6904019730645814e-06,5.387195110321045,1e-05,0.0007838577747122943,0.0006709312160941309,-0.00049613036566329,0.0018482613472698972,0.0013000189035515136,0.0017894621016077744
9750,4.113620161660947e-05,2.1208997225130588e-07,4.092411041259766,1e-05,0.00027868870015365936,0.00021477895874788544,-2.4311987524886342e-05,0.0007363628747771855,0.0005337015142588441,0.0006954803586821786
10000,4.800440729013644e-05,4.8137017074623145e-06,4.319070816040039,1e-05,0.001093892904666525,0.0009056321280438746,0.0008252350582704793,0.0019856747735271796,0.001846822905103629,0.0019296478536731771
