step,total_loss,data_loss,grad_loss,lambda_grad_eff,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3929702341556549,0.3929702341556549,0.2135952115058899,1.6666666666666666e-10,0.2518152684231256,0.20885136520353081,-0.03735146646741319,0.5973601632813885,0.43979084730772305,0.5354874298925288
250,4.415889804931794e-07,6.309456068720465e-09,10.446708679199219,4.166666666666666e-08,4.4323828539683255e-05,2.8655036349205837e-05,-1.1630701705437711e-07,0.00011091854937106405,0.00010706719600728211,0.00011022844991876112
500,8.90032993083878e-07,3.6304544440146636e-12,10.680352210998535,8.333333333333333e-08,1.104834378100679e-06,9.055431711569809e-07,-2.5751069974790297e-08,2.6593228863447393e-06,2.2348583802234136e-06,2.64825650802436e-06
750,1.317928877142549e-06,7.97779290545586e-12,10.543367385864258,1.25e-07,1.6573529528690944e-06,1.3691156131775035e-06,-4.987958236922298e-09,3.9026426783550505e-06,3.112964657336903e-06,3.872106257460927e-06
1000,1.7499987734481692e-06,1.4632316192031425e-11,10.49990463256836,1.6666666666666665e-07,2.20475994544422e-06,1.8086521203471085e-06,5.1853629284572716e-08,5.284109112935198e-06,4.218137805001021e-06,5.142062447944794e-06
1250,2.2212225303519517e-06,2.311354926898268e-11,10.66175651550293,2.0833333333333333e-07,2.795818309432419e-06,2.3005352963152635e-06,-1.6602966366820382e-08,6.803722190085182e-06,5.247103838446065e-06,6.5165352086538036e-06
1500,1.6868509192136116e-05,1.4287371413956862e-05,10.324549674987793,2.5e-07,0.0003751430136415285,0.0003105403916647291,0.0003030298504683567,0.0007099212421959322,0.0006846557313900267,0.0007090917116406992
1750,2.9924626687716227e-06,4.812544460164325e-11,10.259706497192383,2.916666666666667e-07,4.033106219427762e-06,3.227549857344668e-06,1.0733328029540904e-07,1.0637291547155314e-05,7.794098965696605e-06,1.021204426344013e-05
2000,4.5440037865773775e-06,1.2580682096086093e-06,9.857807159423828,3.333333333333333e-07,0.00022111296156637379,0.00019424891876137655,-0.0001937133068970978,0.0003534635499118366,0.00034549363004492405,0.0003517939125848457
2250,3.737710358109325e-06,8.63926152838701e-11,9.966997146606445,3.75e-07,5.421969468915575e-06,4.376699546274462e-06,-6.491317637910686e-08,1.3368916167877387e-05,1.1205140463488299e-05,1.290031149746795e-05
2500,0.00021767884027212858,0.00021364334679674357,9.685169219970703,4.1666666666666667e-07,0.010784502345678426,0.009633380607691018,-0.009568139933735,0.015741101962445825,0.015300645054927474,0.015674366225780254
2750,4.450496817298699e-06,1.3877725357769322e-10,9.709872245788574,4.5833333333333327e-07,6.826250909639337e-06,5.439610192207549e-06,-7.896939187224646e-08,1.6813948088056918e-05,1.4143845473135735e-05,1.6773684354269848e-05
3000,4.753483153763227e-06,2.1890290968773485e-10,9.506528854370117,5e-07,9.007284642832615e-06,6.779006842010171e-06,-4.423727583442661e-06,2.422556186587599e-05,1.9193664526540034e-05,2.2718047988234942e-05
3250,5.023510766477557e-06,1.941489052859069e-10,9.273815155029297,5.416666666666666e-07,8.028464999384763e-06,6.101203101849251e-06,7.547928838560904e-07,2.096375314586396e-05,1.7633775052949817e-05,2.0828786497215643e-05
3500,5.36448669663514e-06,2.1606236244586796e-10,9.195892333984375,5.833333333333334e-07,8.721414454502468e-06,6.4641268041145035e-06,1.41152907546476e-06,2.3001416137091724e-05,1.8168971038878818e-05,2.2609798927177846e-05
3750,5.635013167193392e-06,2.594740255990047e-10,9.015605926513672,6.249999999999999e-07,9.142390646059366e-06,6.70406809799573e-06,3.8784086202931736e-07,2.2414292903505384e-05,1.769575067465112e-05,2.187012913129393e-05
4000,5.916909685765859e-06,3.7946096265173423e-10,8.874795913696289,6.666666666666666e-07,1.0112338336760991e-05,7.547362085609455e-06,1.6374050048538282e-06,2.7629328693379307e-05,2.1521111279909616e-05,2.5544812525790643e-05
4250,6.0833235693280585e-06,2.7481041442456444e-08,8.54942512512207,7.083333333333334e-07,0.00011707570873897177,9.574027418176219e-05,-1.576562868466609e-05,0.00026527609211868253,0.00020290332566803566,0.0002562905913395851
4500,6.371454674081178e-06,1.960278552814998e-07,8.233901977539062,7.5e-07,0.00025597167491481687,0.00021046162771197276,6.455777905416193e-05,0.0006438162522215407,0.0005348652092595602,0.0006061278192481186
