step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,1.8452506065368652,0.688344239209024,0.6224721175585985,0.5950984865368762,1.0584477534856216,0.9950469958384055,1.0402576860665682
250,0.12546342611312866,0.20517318672478893,0.1521350092206481,-0.00039287669655939183,0.6261243806815315,0.4005085741333021,0.5345340619030686
500,0.11138007789850235,0.1933415667682956,0.14636786987555994,-0.0001479014284370721,0.5220489129656016,0.35876058016642504,0.5062053956779404
750,0.09538280218839645,0.17888413181842608,0.13240206700976392,4.582621458579371e-05,0.5229106538447574,0.32337108203669346,0.4890653197869388
1000,0.08326868712902069,0.1671578496252669,0.12593612860711578,9.55603947633541e-06,0.5365992766476921,0.32802279218972963,0.4584159303103264
1250,0.07108549773693085,0.15442643919684776,0.11707240760050822,-2.6851408581475223e-05,0.45782964922881675,0.3280911183833091,0.4375115419714437
1500,0.05340519919991493,0.13380652150309716,0.09500164071430127,-4.968862139829272e-05,0.39550217682831423,0.30963557790225904,0.36119590793058887
1750,0.03778929263353348,0.11256050390098708,0.07525576044177537,-6.583677168245505e-05,0.3213564039079557,0.29278834025966616,0.32091924702254365
2000,0.025560004636645317,0.0925510646331468,0.056127288771558155,-7.649379846426319e-05,0.28942669217677697,0.23608984360559118,0.27444337046276557
2250,0.013629048131406307,0.06752378395397239,0.042147796564632176,-5.7172592462792626e-05,0.2185294634800563,0.15144743470793648,0.20656094721174661
2500,0.00211388454772532,0.026481244619073006,0.01761630423298454,-5.667376384615743e-05,0.06924494771237555,0.05739522350292298,0.06705834894349907
2750,0.00024306535487994552,0.00900913500355498,0.005457494352421213,-1.050898957971349e-05,0.030967977302220007,0.02016027340158011,0.030152822360460168
3000,8.961538696894422e-05,0.00547689015095582,0.002796269924018438,-1.1558245335221852e-06,0.019270634754889215,0.013267966161316728,0.018779553558841325
3250,4.475755486055277e-05,0.0038711309190646,0.0021050304560908052,-1.753842367420367e-07,0.013221365920744077,0.00776758226150207,0.013082459739590852
3500,2.1040799765614793e-05,0.0026533978624967767,0.0015139887493723372,-1.229625194469685e-07,0.008899051008258496,0.005362983240905804,0.008742881979366714
3750,8.057894774538e-06,0.001641243045091738,0.0009553319462034844,-4.206356439881563e-07,0.00544609292311371,0.0033295369601949775,0.005341464636895487
4000,2.378452109041973e-06,0.0008911825060914269,0.0005241844949554724,-1.0569418893541503e-07,0.0029255383397241985,0.0018225865329045013,0.00288169021637854
4250,5.305296895130596e-07,0.00042075947988655886,0.0002492237475184144,-1.2337367017947611e-07,0.0013661908332522898,0.0008662979082018292,0.0013534770779695647
4500,8.89151792193843e-08,0.00017210621361228627,0.00010240141261071079,2.610522573982215e-07,0.000554803791175118,0.0003565041807738643,0.0005516055766945094
4750,1.1130318000596162e-08,6.087513838197983e-05,3.640596520139097e-05,1.0810418778140459e-07,0.0001951044682453329,0.00012641317532988686,0.0001945541795540251
5000,1.0584388920875654e-09,1.875179997107541e-05,1.1222983319400659e-05,6.781141692613346e-08,6.003158759604332e-05,3.905182825167939e-05,5.9806979616414676e-05
