step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.31592899560928345,0.30481736784646624,0.2592648473517181,-0.05913530596262116,0.6144759657899428,0.4888988527597554,0.5955440943361079
500,6.110846495488431e-09,4.433025921672697e-05,7.68353687658723e-06,6.158649644906147e-06,0.00028717233510811013,3.6883070905879794e-06,0.00017100097382248943
1000,2.4175401128678428e-14,8.483614180915315e-08,5.279588635059575e-08,3.671903670010579e-09,4.1443993126222267e-07,1.1648428248633986e-07,3.035901480963322e-07
1500,2.9883142384630424e-15,2.544554844442272e-08,1.7883962543678643e-08,-2.341175592015415e-09,8.390892070053724e-08,4.448751811381156e-08,7.782632494013336e-08
2000,5.300287491620103e-15,5.970454099431959e-08,4.459807782334716e-08,2.412665229505657e-08,1.3671461296382859e-07,1.1329789479930238e-07,1.362022720563516e-07
2500,2.142215826950178e-08,0.0001206189666639403,9.172995543669873e-05,6.117544761827904e-05,0.00038367948483220005,0.00018065297045284369,0.00031430036564746125
3000,8.120700529937793e-15,5.905404150377347e-08,4.4820670180591887e-08,3.106571507974617e-09,1.5486086546445677e-07,1.2054657894111626e-07,1.5015151090480568e-07
3500,7.95915457274532e-06,0.0012076152081470107,0.0008727547320671444,-0.0006588458346183723,0.0031841222842245998,0.002691367678953681,0.0030782262971484355
4000,2.6340583360318082e-14,8.679914295777797e-08,7.051112130153029e-08,1.564756155335631e-09,1.8322320016750382e-07,1.5137910507334594e-07,1.7832483482749236e-07
4500,4.36766677783685e-14,1.1732739093239764e-07,9.545259888319552e-08,-1.467480444040077e-09,2.550673112722279e-07,2.370488508596224e-07,2.518253103822587e-07
5000,1.0863600991006805e-10,7.726471748540934e-06,5.523122292807497e-06,-3.040025516738643e-06,2.4376507424150873e-05,1.4614249628408513e-05,2.0718526048000252e-05
5500,5.2633908516341865e-12,1.1210378886574426e-06,9.376648817817027e-07,-4.544527910813453e-07,2.153209512911758e-06,2.004104703967612e-06,2.122987086714545e-06
6000,3.425608099405508e-07,0.00033839719498455215,0.0002469741367113595,9.284304733509734e-05,0.0008392635331500031,0.000777716266590289,0.0008329715043891994
6500,2.7437281460152008e-06,0.0011037943523115005,0.0009005368490490844,-2.329454366285722e-05,0.0027295846381907296,0.002214058387787076,0.0025373113438823384
7000,2.181681857393869e-08,8.139197137803712e-05,6.242824876833723e-05,2.7001010539682924e-05,0.0002079012237174993,0.00015735956286677666,0.0002041354454798316
7500,1.1928240439829096e-07,0.00020268085815038789,0.00014933575484692746,6.453701683749644e-06,0.0006454615829039057,0.0004115729945104892,0.0005898487251321244
8000,4.232460071307287e-07,0.0003922324485664131,0.0003245374539499072,0.0001130958180907508,0.0008830679408564635,0.0007478254958519059,0.0008487905018463057
8500,2.374837549723452e-06,0.0010245249759479947,0.0008327482959389343,-0.0002411993911078354,0.003591569465134725,0.0014566382701173268,0.003041990710204642
9000,5.9510565522484776e-15,4.178880691928747e-08,3.3897796908057725e-08,5.573475818431732e-09,8.520756367147442e-08,7.864978259775055e-08,8.288471592621248e-08
9500,5.2821637837041635e-06,0.0014889245159137702,0.0005851927560397588,-0.00021473613726324153,0.009046009669576804,0.0011413258556800083,0.006059565155952233
10000,1.0281091943227776e-14,5.9226168200840714e-08,4.6612596956866325e-08,-4.29414159257357e-09,1.5145732845667226e-07,1.2916006655316876e-07,1.4899156443703985e-07
