run_name,output_dir,lambda_curv_xy,lambda_curv_t,window_start_index,window_size_records,num_steps,seed,num_collocation,status,final_step,final_total_loss,final_data_loss,final_curv_xy_weighted,final_curv_t_weighted,final_rmse_log10,best_total_step,best_total_loss,best_total_data_loss,best_total_curv_xy_weighted,best_total_curv_t_weighted,best_total_rmse_log10,best_data_step,best_data_loss,best_data_total_loss,best_data_rmse_log10
win0100_size11_xy0_t0,outputs/lambda_sweep_window100_size11/win0100_size11_xy0_t0,0.0,0.0,100,11,10000,0,8192,ok,10000,6.759702389849687e-15,6.759702389849687e-15,0.0,0.0,5.4335196943754024e-08,4250,4.164985091976168e-15,4.164985091976168e-15,0.0,0.0,3.8511432007082187e-08,4250,4.164985091976168e-15,4.164985091976168e-15,3.8511432007082187e-08
win0100_size11_xy0_t3em09,outputs/lambda_sweep_window100_size11/win0100_size11_xy0_t3em09,0.0,3e-09,100,11,10000,0,8192,ok,10000,6.090181614126777e-06,5.145524937688606e-06,0.0,9.44656846968428e-07,0.0012923112196265,750,4.564558935271634e-07,2.451714564699614e-08,0.0,4.319387585383083e-07,9.025478508954248e-05,1000,4.453699561923763e-11,5.579752837547858e-07,3.874690201494294e-06
win0100_size11_xy0_t1em08,outputs/lambda_sweep_window100_size11/win0100_size11_xy0_t1em08,0.0,1e-08,100,11,10000,0,8192,ok,10000,5.123754817759618e-06,2.751486135821324e-06,0.0,2.372268454564619e-06,0.0009566092216236,750,1.460988187318435e-06,2.4750237415105406e-08,0.0,1.4362379943122503e-06,9.069322220840056e-05,1000,3.765696920954298e-10,1.849937575570948e-06,1.1401244317402689e-05
win0100_size11_xy0_t3em08,outputs/lambda_sweep_window100_size11/win0100_size11_xy0_t3em08,0.0,3e-08,100,11,10000,0,8192,ok,10000,1.0001807822845876e-05,5.489999239216559e-06,0.0,4.5118090383766685e-06,0.00136594634775,750,4.305256425141124e-06,2.6536413955113858e-08,0.0,4.278720098227495e-06,9.402389635147743e-05,1750,9.964679748009075e-09,8.94781987881288e-06,5.87726893115936e-05
win0100_size11_xy5em10_t0,outputs/lambda_sweep_window100_size11/win0100_size11_xy5em10_t0,5e-10,0.0,100,11,10000,0,8192,ok,10000,5.745644557464402e-06,5.632439297187375e-06,1.1320523185531785e-07,0.0,0.0009987115397989,1000,5.983144291121789e-08,1.627925225178295e-11,5.981516437714164e-08,0.0,2.28768603564108e-06,1250,4.78777011526238e-13,7.593653350568276e-08,4.04826612709594e-07
win0100_size11_xy5em10_t3em09,outputs/lambda_sweep_window100_size11/win0100_size11_xy5em10_t3em09,5e-10,3e-09,100,11,10000,0,8192,ok,10000,2.45262617681874e-06,1.3957403552922187e-06,1.1169169056302053e-07,9.451943014937568e-07,0.000594408367675,750,5.006446599509218e-07,2.4553422406370373e-08,4.4159676804156334e-08,4.31931539424113e-07,9.031428162092136e-05,1000,4.7460774893481876e-11,6.177499471959891e-07,3.995769305441605e-06
win0100_size11_xy5em10_t1em08,outputs/lambda_sweep_window100_size11/win0100_size11_xy5em10_t1em08,5e-10,1e-08,100,11,10000,0,8192,ok,10000,8.15114617580548e-06,5.671434792020591e-06,1.1502109487082637e-07,2.3646907720831223e-06,0.0016038038804277,750,1.5051418813527562e-06,2.4785174801422727e-08,4.4142190347429284e-08,1.436214461136842e-06,9.076187951889186e-05,1000,3.849908725150897e-10,1.909666934807319e-06,1.151637714546394e-05
win0100_size11_xy5em10_t3em08,outputs/lambda_sweep_window100_size11/win0100_size11_xy5em10_t3em08,5e-10,3e-08,100,11,10000,0,8192,ok,10000,9.027049600263126e-06,4.376565811980981e-06,1.309132073856745e-07,4.5195711209089495e-06,0.0015995397180562,750,4.349316441221163e-06,2.657327691224509e-08,4.4092917761417993e-08,4.278650067135459e-06,9.409587711010052e-05,1500,7.369294952042081e-09,8.241659088525921e-06,5.0453995380204665e-05
win0100_size11_xy1em09_t0,outputs/lambda_sweep_window100_size11/win0100_size11_xy1em09_t0,1e-09,0.0,100,11,10000,0,8192,ok,10000,9.018216360345832e-07,6.816467248427216e-07,2.201748969810069e-07,0.0,0.0005580622351224,750,1.1287351497912824e-07,2.4550168120640592e-08,8.832334685848765e-08,0.0,9.031267289270924e-05,1750,3.415928130634516e-12,2.0703556913304053e-07,1.084007287671607e-06
win0100_size11_xy1em09_t3em09,outputs/lambda_sweep_window100_size11/win0100_size11_xy1em09_t3em09,1e-09,3e-09,100,11,10000,0,8192,ok,10000,1.4635877505497774e-06,2.989526421970368e-07,2.179496760845723e-07,9.466854180573135e-07,0.0003508196336399,750,5.448191018331272e-07,2.458652303971576e-08,8.830829045791688e-08,4.319242918882082e-07,9.03805152715824e-05,1000,5.157482774187372e-11,6.774549774490879e-07,4.182535982162955e-06
